CLADATA,NOMBRE,DESCRIPCIO,FISNAME
1,TABLA ADMONPUBLI,,ADMONPUBLI.DBF
2,TABLA ADOMPUBLI,,ADOMPUBLI.DBF
3,TABLA AGENTES,,AGENTES.DBF
4,TABLA AIRFUNC,,AIRFUNC.DBF
5,TABLA ALBARAI,,ALBARAI.DBF
6,TABLA ALBARAIL,,ALBARAIL.DBF
7,TABLA ALBARAN,,ALBARAN.DBF
8,TABLA ALBARANL,,ALBARANL.DBF
9,TABLA ALMACEN,,ALMACEN.DBF
10,TABLA ARREGLOS,,ARREGLOS.DBF
11,TABLA ARTATRIBUTOS,,ARTATRIBUTOS.DBF
12,TABLA ARTICULO,,ARTICULO.DBF
13,TABLA ARTIMG_ONLINE,,ARTIMG_ONLINE.DBF
14,TABLA ARTMODIF,,ARTMODIF.DBF
15,TABLA ARTRELACION,,ARTRELACION.DBF
16,TABLA ARTTC,,ARTTC.DBF
17,TABLA ASBLOQUES,,ASBLOQUES.DBF
18,TABLA ASCONST,,ASCONST.DBF
19,TABLA ASCONSTCFG,,ASCONSTCFG.DBF
20,TABLA ASCSEC,,ASCSEC.DBF
21,TABLA ATRIBUTOS,,ATRIBUTOS.DBF
22,TABLA BANCOS,,BANCOS.DBF
23,TABLA BANNER,,BANNER.DBF
24,TABLA BANNERAJUST,,BANNERAJUST.DBF
25,TABLA BONO,,BONO.DBF
26,TABLA CARRITO,,CARRITO.DBF
27,TABLA CARRITOL,,CARRITOL.DBF
28,TABLA CART,,CART.DBF
29,TABLA CGSYNCHIS,,CGSYNCHIS.DBF
30,TABLA CHCY,,CHCY.DBF
31,TABLA CIERRES,,CIERRES.DBF
32,TABLA CLIENTES,,CLIENTES.DBF
33,TABLA CLIENTMSG,,CLIENTMSG.DBF
34,TABLA CLIENV,,CLIENV.DBF
35,TABLA CODBANCOS,,CODBANCOS.DBF
36,TABLA CODPAISES,,CODPAISES.DBF
37,TABLA COLORES,,COLORES.DBF
38,TABLA CONFIGMOBILE,,CONFIGMOBILE.DBF
39,TABLA CONTACTOS,,CONTACTOS.DBF
40,TABLA COSTEENVIO,,COSTEENVIO.DBF
41,TABLA COSTEENVIOL,,COSTEENVIOL.DBF
42,TABLA CRICAJA,,CRICAJA.DBF
43,TABLA DEVOLUTJT,,DEVOLUTJT.DBF
44,TABLA DIR_ONLINE,,DIR_ONLINE.DBF
45,TABLA EFECTOS,,EFECTOS.DBF
46,TABLA EJERCIC,,EJERCIC.DBF
47,TABLA EMAILHYST,,EMAILHYST.DBF
48,TABLA EMAILS,,EMAILS.DBF
49,TABLA EMBALAJES,,EMBALAJES.DBF
50,TABLA EMPRESAS,,EMPRESAS.DBF
51,TABLA ENVIOS,,ENVIOS.DBF
52,TABLA ENVIOSL,,ENVIOSL.DBF
53,TABLA ERRORESTJT,,ERRORESTJT.DBF
54,TABLA ESCAN,,ESCAN.DBF
55,TABLA ESCANL,,ESCANL.DBF
56,TABLA ESCCOL,,ESCCOL.DBF
57,TABLA ESCUCHAS,,ESCUCHAS.DBF
58,TABLA ESTADOPDD,,ESTADOPDD.DBF
59,TABLA ESTADOPDDL,,ESTADOPDDL.DBF
60,TABLA ESTVISITA,,ESTVISITA.DBF
61,TABLA EXPEDIENTES,,EXPEDIENTES.DBF
62,TABLA EXPTESL1,,EXPTESL1.DBF
63,TABLA EXPTESL2,,EXPTESL2.DBF
64,TABLA FABRICA,,FABRICA.DBF
65,TABLA FABRICAL,,FABRICAL.DBF
66,TABLA FACREC,,FACREC.DBF
67,TABLA FACRECL,,FACRECL.DBF
68,TABLA FACTURA,,FACTURA.DBF
69,TABLA FACTURAL,,FACTURAL.DBF
70,TABLA FAMILIAS,,FAMILIAS.DBF
71,TABLA FOOTER,,FOOTER.DBF
72,TABLA FPAGO,,FPAGO.DBF
73,TABLA FTPSERVERS,,FTPSERVERS.DBF
74,TABLA GASTOS,,GASTOS.DBF
75,TABLA GPSNAVS,,GPSNAVS.DBF
76,TABLA GPSPOS,,GPSPOS.DBF
77,TABLA HELPMSG,,HELPMSG.DBF
78,TABLA HISTORY,,HISTORY.DBF
79,TABLA HIS_ONLINE,,HIS_ONLINE.DBF
80,TABLA HOJAS,,HOJAS.DBF
81,TABLA INVENTARIO,,INVENTARIO.DBF
82,TABLA INVENTARIOL,,INVENTARIOL.DBF
83,TABLA IVA,,IVA.DBF
84,TABLA IVAFECHAS,,IVAFECHAS.DBF
85,TABLA LIQUIDA,,LIQUIDA.DBF
86,TABLA LLAMADAS,,LLAMADAS.DBF
87,TABLA LLAMADASP,,LLAMADASP.DBF
88,TABLA MAILTEXT,,MAILTEXT.DBF
89,TABLA MARCAS,,MARCAS.DBF
90,TABLA MARCASL,,MARCASL.DBF
91,TABLA MDATA,,MDATA.DBF
92,TABLA MENUS_ONLINE,,MENUS_ONLINE.DBF
93,TABLA MFUNC,,MFUNC.DBF
94,TABLA MOBACC,,MOBACC.DBF
95,TABLA MOBBOT,,MOBBOT.DBF
96,TABLA MOBPAN,,MOBPAN.DBF
97,TABLA MOBPER,,MOBPER.DBF
98,TABLA MOBREPLI,,MOBREPLI.DBF
99,TABLA MODELOS,,MODELOS.DBF
100,TABLA MONEDAS,,MONEDAS.DBF
101,TABLA MOVALM,,MOVALM.DBF
102,TABLA MPARPAGO,,MPARPAGO.DBF
103,TABLA MSGMEIL,,MSGMEIL.DBF
104,TABLA MTRANSTYPE,,MTRANSTYPE.DBF
105,TABLA NOTICIAS,,NOTICIAS.DBF
106,TABLA NOTICIASL,,NOTICIASL.DBF
107,TABLA NOVEDADES,,NOVEDADES.DBF
108,TABLA NUMSERIE,,NUMSERIE.DBF
109,TABLA OFERTAS,,OFERTAS.DBF
110,TABLA ONLINECFG,,ONLINECFG.DBF
111,TABLA OPERACIONES,,OPERACIONES.DBF
112,TABLA OPERARIO,,OPERARIO.DBF
113,TABLA ORDFAC,,ORDFAC.DBF
114,TABLA ORDFACL,,ORDFACL.DBF
115,TABLA ORDFACLIN,,ORDFACLIN.DBF
116,TABLA ORDPROD,,ORDPROD.DBF
117,TABLA ORDPRODL,,ORDPRODL.DBF
118,TABLA PAGEDISTR,,PAGEDISTR.DBF
119,TABLA PAGEDISTRL,,PAGEDISTRL.DBF
120,TABLA PAGONLINE,,PAGONLINE.DBF
121,TABLA PAGONLINEL,,PAGONLINEL.DBF
122,TABLA PAISES,,PAISES.DBF
123,TABLA PAQUETECOL,,PAQUETECOL.DBF
124,TABLA PARPAGO,,PARPAGO.DBF
125,TABLA PARTES,,PARTES.DBF
126,TABLA PATHCONFIG,,PATHCONFIG.DBF
127,TABLA PDA,,PDA.DBF
128,TABLA PEDIDO,,PEDIDO.DBF
129,TABLA PEDIDOL,,PEDIDOL.DBF
130,TABLA PEDIDOP,,PEDIDOP.DBF
131,TABLA PEDIDOPL,,PEDIDOPL.DBF
132,TABLA PEDIDO_ONLINE,,PEDIDO_ONLINE.DBF
133,TABLA PLANTILLA,,PLANTILLA.DBF
134,TABLA PLANTILLAL,,PLANTILLAL.DBF
135,TABLA PLANTWEB,,PLANTWEB.DBF
136,TABLA POMITIDAS,,POMITIDAS.DBF
137,TABLA PREFWIN,,PREFWIN.DBF
138,TABLA PRESUP,,PRESUP.DBF
139,TABLA PRESUPL,,PRESUPL.DBF
140,TABLA PRESUPML,,PRESUPML.DBF
141,TABLA PROCESOS,,PROCESOS.DBF
142,TABLA PROREP,,PROREP.DBF
143,TABLA PROVEEDO,,PROVEEDO.DBF
144,TABLA PROVIN,,PROVIN.DBF
145,TABLA PRUEBA,,PRUEBA.DBF
146,TABLA RECIBOS,,RECIBOS.DBF
147,TABLA RECURSOS,,RECURSOS.DBF
148,TABLA REGISTRO,,REGISTRO.DBF
149,TABLA REMESAS,,REMESAS.DBF
150,TABLA REMESASP,,REMESASP.DBF
151,TABLA RESERVAS,,RESERVAS.DBF
152,TABLA SALIDAS,,SALIDAS.DBF
153,TABLA SALONES,,SALONES.DBF
154,TABLA SELCLI,,SELCLI.DBF
155,TABLA SELCLIL,,SELCLIL.DBF
156,TABLA SELECTORS,,SELECTORS.DBF
157,TABLA SESION_ONLINE,,SESION_ONLINE.DBF
158,TABLA TALLAJES,,TALLAJES.DBF
159,TABLA TALLERES,,TALLERES.DBF
160,TABLA TARIFA,,TARIFA.DBF
161,TABLA TARIFAL,,TARIFAL.DBF
162,TABLA TARJETAS,,TARJETAS.DBF
163,TABLA TARTPVPTO,,TARTPVPTO.DBF
164,TABLA TEST2,,TEST2.DBF
165,TABLA TIKETS,,TIKETS.DBF
166,TABLA TIKETSL,,TIKETSL.DBF
167,TABLA TIPCALLS,,TIPCALLS.DBF
168,TABLA TIPELEM,,TIPELEM.DBF
169,TABLA TIPEXP,,TIPEXP.DBF
170,TABLA TIPEXPL,,TIPEXPL.DBF
171,TABLA TIPGAST,,TIPGAST.DBF
172,TABLA TIPOENVIO,,TIPOENVIO.DBF
173,TABLA TIPOPAGO,,TIPOPAGO.DBF
174,TABLA TIPORECURSO,,TIPORECURSO.DBF
175,TABLA TIPOSCLI,,TIPOSCLI.DBF
176,TABLA TIPOSENV,,TIPOSENV.DBF
177,TABLA TIPPUESTO,,TIPPUESTO.DBF
178,TABLA TOOLBARS,,TOOLBARS.DBF
