CLAMODUL,NOMBRE,DESCRIPCIO,OLDNAME
2,WCLIENTES,Clientes,CLIENTES
3,WPROVEEDO,Proveedores,PROVEEDORES
4,WCONTACTOS,Contactos,CLIENTES
5,WHISTORY,Historico de accesos y modificaciones de registros.,VENTANAHISTORY
6,WUSUARIOS,Lista de usuarios y permisos de cada usuario,USERS
8,WFACTURA,Archivo de Facturas de Clientes,FACTURA
9,WTPV,TPV,TPV
10,WLIQUIDA,Liquidaciones de comisiones,LIQUIDA
11,WARTICULO,Artículos,ARTICULO
12,WAGENTES,Archivo de Agentes Comerciales,AGENTES
13,WALMACEN,Archivo de almacenes,ALMACENES
14,WBANCOS,Cuentas de Tesorería,BANCOS
15,WTALLAJES,Archivo de Tallajes,TALLAJES
16,WTARIFAS,Archivo de Tarifas de Precios,TARIFAS
17,WTRANSPOR,Agencias de Transporte,TRANSPOR
18,WPROVIN,Provincias,CONFIG
19,WFAMILIAS,Familias                                       ,CONFIG
20,WFPAGO,Formas de Pago                                 ,CONFIG
21,WTIPOSCLI,Tipos de Clientes.,CONFIG
22,WZONAS,Archivo de Zonas,CONFIG
23,WTIPOSIVA,Tipos de IVA,CONFIG
24,WEMPRESAS,Archivo de Empresas,CONFIG
25,WEJERCICIOS,Archivo de Ejercicios,CONFIG
26,WESCANDALLO,Escandallos de Artículos,ESCANDALLO
28,WPRESUP,Archivo de presupuestos,PRESUP
29,WPEDIDO,Archivo de Pedidos de Clientes,PEDIDO
30,WALBARAN,Archivo de Albaranes de Clientes,ALBARAN
31,WPEDIDOP,Archivo de Pedidos a Proveedores,PEDIDOP
32,WALBARAI,Archivo de Albaranes de Proveedores,ALBARAI
33,WFACREC,Archivo de Facturas de Proveedores,FACREC
34,WEFECTOS,Efectos a COBRAR,EFECTOS
35,WRECIBOS,Efectos a PAGAR,RECIBOS
36,WSEGUIMIENTO,Seguimiento de clientes,SEGUIMIENTO
37,WEFEFACR,Efectos de factura de proveedor,EFEFACR
39,WMARCPRO,Marcas representadas,PROVEEDORES
40,WTOOLBUTS,Botones de barra de herramientas,
